industry,effective_date,value
general,1990-01-01,378.00
general,2023-07-01,418.00
construction,1990-01-01,378.00
construction,2023-07-01,418.00
agriculture,1990-01-01,378.00
agriculture,2023-07-01,418.00
cleaning,1990-01-01,423.00
