year,holiday_id,hebrew_date,gregorian_date
1959,sukkot,"ט""ו תשרי",1959-10-17
1959,hoshana_raba,"כ""א תשרי",1959-10-23
1960,pesach,"ט""ו ניסן",1960-04-12
1960,pesach_7,"כ""א ניסן",1960-04-18
1960,yom_haatzmaut,ה' אייר,1960-05-03
1960,shavuot,ו' סיוון,1960-06-01
1960,rosh_hashana_1,א' תשרי,1960-09-22
1960,rosh_hashana_2,ב' תשרי,1960-09-23
1960,yom_kippur,י' תשרי,1960-10-01
1960,sukkot,"ט""ו תשרי",1960-10-06
1960,hoshana_raba,"כ""א תשרי",1960-10-12
1961,pesach,"ט""ו ניסן",1961-04-01
1961,pesach_7,"כ""א ניסן",1961-04-07
1961,yom_haatzmaut,ה' אייר,1961-04-20
1961,shavuot,ו' סיוון,1961-05-21
1961,rosh_hashana_1,א' תשרי,1961-09-11
1961,rosh_hashana_2,ב' תשרי,1961-09-12
1961,yom_kippur,י' תשרי,1961-09-20
1961,sukkot,"ט""ו תשרי",1961-09-25
1961,hoshana_raba,"כ""א תשרי",1961-10-01
1962,pesach,"ט""ו ניסן",1962-04-19
1962,pesach_7,"כ""א ניסן",1962-04-25
1962,yom_haatzmaut,ה' אייר,1962-05-09
1962,shavuot,ו' סיוון,1962-06-08
1962,rosh_hashana_1,א' תשרי,1962-09-29
1962,rosh_hashana_2,ב' תשרי,1962-09-30
1962,yom_kippur,י' תשרי,1962-10-08
1962,sukkot,"ט""ו תשרי",1962-10-13
1962,hoshana_raba,"כ""א תשרי",1962-10-19
1963,pesach,"ט""ו ניסן",1963-04-09
1963,pesach_7,"כ""א ניסן",1963-04-15
1963,yom_haatzmaut,ה' אייר,1963-04-30
1963,shavuot,ו' סיוון,1963-05-29
1963,rosh_hashana_1,א' תשרי,1963-09-19
1963,rosh_hashana_2,ב' תשרי,1963-09-20
1963,yom_kippur,י' תשרי,1963-09-28
1963,sukkot,"ט""ו תשרי",1963-10-03
1963,hoshana_raba,"כ""א תשרי",1963-10-09
1964,pesach,"ט""ו ניסן",1964-03-28
1964,pesach_7,"כ""א ניסן",1964-04-03
1964,yom_haatzmaut,ה' אייר,1964-04-16
1964,shavuot,ו' סיוון,1964-05-17
1964,rosh_hashana_1,א' תשרי,1964-09-07
1964,rosh_hashana_2,ב' תשרי,1964-09-08
1964,yom_kippur,י' תשרי,1964-09-16
1964,sukkot,"ט""ו תשרי",1964-09-21
1964,hoshana_raba,"כ""א תשרי",1964-09-27
1965,pesach,"ט""ו ניסן",1965-04-17
1965,pesach_7,"כ""א ניסן",1965-04-23
1965,yom_haatzmaut,ה' אייר,1965-05-06
1965,shavuot,ו' סיוון,1965-06-06
1965,rosh_hashana_1,א' תשרי,1965-09-27
1965,rosh_hashana_2,ב' תשרי,1965-09-28
1965,yom_kippur,י' תשרי,1965-10-06
1965,sukkot,"ט""ו תשרי",1965-10-11
1965,hoshana_raba,"כ""א תשרי",1965-10-17
1966,pesach,"ט""ו ניסן",1966-04-05
1966,pesach_7,"כ""א ניסן",1966-04-11
1966,yom_haatzmaut,ה' אייר,1966-04-26
1966,shavuot,ו' סיוון,1966-05-25
1966,rosh_hashana_1,א' תשרי,1966-09-15
1966,rosh_hashana_2,ב' תשרי,1966-09-16
1966,yom_kippur,י' תשרי,1966-09-24
1966,sukkot,"ט""ו תשרי",1966-09-29
