effective_date,hourly,daily_5day,daily_6day,monthly
2018-04-01,29.12,244.62,212.00,5300.00
2023-04-01,30.61,257.16,222.87,5571.75
2024-04-01,32.30,271.38,235.20,5880.02
2025-04-01,34.32,288.35,249.90,6247.67
